Year,Region,Region code,Country,Country Code,Data categories,Indicator coverage and disaggregation,Data available last 5 years,Data available last 10 years,"First administrative level
","Second administrative level
",Coverage subscore,"Machine readable
",Non-proprietary,"Download options
","Metadata available
","Terms of use
",Openness subscore,Overall score
2022,Southern Europe,EUZ,Albania,ALB,International trade,100.0,100.0,100.0,-,-,100.0,100.0,100.0,100.0,50.0,0.0,70.0,81.3
2022,Southern Europe,EUZ,Albania,ALB,Balance of payments,100.0,100.0,100.0,-,-,100.0,100.0,100.0,100.0,50.0,0.0,70.0,81.3
2022,Southern Europe,EUZ,Albania,ALB,Economic & Financial Statistics subscores,100.0,100.0,100.0,12.5,0.0,82.7,92.9,100.0,71.4,50.0,0.0,62.9,71.3
2022,Southern Europe,EUZ,Albania,ALB,Agriculture and land use,100.0,100.0,100.0,50.0,0.0,70.0,100.0,100.0,50.0,50.0,0.0,60.0,65.0
2022,Southern Europe,EUZ,Albania,ALB,Resource use,100.0,100.0,100.0,0.0,-,75.0,100.0,100.0,100.0,50.0,0.0,70.0,72.2
2022,Southern Europe,EUZ,Albania,ALB,Energy,50.0,50.0,50.0,-,-,50.0,100.0,100.0,100.0,50.0,0.0,70.0,62.5
2022,Southern Europe,EUZ,Albania,ALB,Pollution,50.0,0.0,0.0,50.0,-,25.0,100.0,100.0,100.0,50.0,0.0,70.0,50.0
2022,Southern Europe,EUZ,Albania,ALB,Built environment,100.0,50.0,50.0,0.0,0.0,40.0,50.0,100.0,50.0,50.0,0.0,50.0,45.0
2022,Southern Europe,EUZ,Albania,ALB,Environment subscore,80.0,60.0,60.0,25.0,0.0,52.4,90.0,100.0,80.0,50.0,0.0,64.0,58.7
2022,Southern Europe,EUZ,Albania,ALB,All Categories,86.7,75.0,71.7,28.3,3.5,60.3,79.3,98.3,68.8,50.0,0.0,59.3,59.7
2022,Northern Africa,AFN,Algeria,DZA,Population & vital statistics,100.0,100.0,100.0,50.0,0.0,70.0,0.0,100.0,0.0,50.0,0.0,30.0,50.0
2022,Northern Africa,AFN,Algeria,DZA,Education facilities,50.0,50.0,50.0,50.0,0.0,40.0,0.0,100.0,0.0,50.0,0.0,30.0,35.0
2022,Northern Africa,AFN,Algeria,DZA,Education outcomes,50.0,50.0,50.0,50.0,0.0,40.0,0.0,100.0,0.0,50.0,0.0,30.0,35.0
2022,Northern Africa,AFN,Algeria,DZA,Health facilities,50.0,50.0,50.0,0.0,0.0,30.0,0.0,100.0,0.0,50.0,0.0,30.0,30.0
2022,Northern Africa,AFN,Algeria,DZA,Health outcomes,50.0,50.0,50.0,0.0,0.0,30.0,0.0,100.0,0.0,50.0,0.0,30.0,30.0
2022,Northern Africa,AFN,Algeria,DZA,Reproductive health,50.0,50.0,50.0,0.0,0.0,30.0,0.0,100.0,50.0,50.0,0.0,40.0,35.0
2022,Northern Africa,AFN,Algeria,DZA,Food security & nutrition,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Northern Africa,AFN,Algeria,DZA,Gender statistics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Northern Africa,AFN,Algeria,DZA,Crime & justice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Northern Africa,AFN,Algeria,DZA,Poverty & income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Northern Africa,AFN,Algeria,DZA,Social statistics subscore,35.0,35.0,35.0,15.0,0.0,24.5,0.0,60.0,5.0,30.0,0.0,19.0,21.7
2022,Northern Africa,AFN,Algeria,DZA,National accounts,100.0,50.0,100.0,0.0,-,62.5,50.0,50.0,50.0,50.0,0.0,40.0,50.0
2022,Northern Africa,AFN,Algeria,DZA,Labor,100.0,50.0,50.0,0.0,0.0,40.0,0.0,100.0,0.0,50.0,0.0,30.0,35.0
2022,Northern Africa,AFN,Algeria,DZA,Price indexes,100.0,100.0,100.0,0.0,-,75.0,0.0,100.0,0.0,50.0,0.0,30.0,50.0
2022,Northern Africa,AFN,Algeria,DZA,Government finance,100.0,50.0,50.0,0.0,-,50.0,0.0,100.0,0.0,50.0,0.0,30.0,38.9
2022,Northern Africa,AFN,Algeria,DZA,Money & banking,100.0,100.0,100.0,-,-,100.0,0.0,100.0,0.0,50.0,0.0,30.0,56.3
2022,Northern Africa,AFN,Algeria,DZA,International trade,50.0,50.0,50.0,-,-,50.0,0.0,100.0,0.0,50.0,0.0,30.0,37.5
2022,Northern Africa,AFN,Algeria,DZA,Balance of payments,100.0,100.0,100.0,-,-,100.0,0.0,100.0,0.0,50.0,0.0,30.0,56.3
2022,Northern Africa,AFN,Algeria,DZA,Economic & Financial Statistics subscores,92.9,71.4,78.6,0.0,0.0,65.4,7.1,92.9,7.1,50.0,0.0,31.4,45.9
2022,Northern Africa,AFN,Algeria,DZA,Agriculture and land use,50.0,50.0,50.0,50.0,0.0,40.0,0.0,100.0,0.0,50.0,0.0,30.0,35.0
2022,Northern Africa,AFN,Algeria,DZA,Resource use,100.0,50.0,50.0,0.0,-,50.0,0.0,100.0,50.0,50.0,0.0,40.0,44.4
2022,Northern Africa,AFN,Algeria,DZA,Energy,50.0,50.0,50.0,-,-,50.0,0.0,100.0,0.0,50.0,0.0,30.0,37.5
2022,Northern Africa,AFN,Algeria,DZA,Pollution,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Northern Africa,AFN,Algeria,DZA,Built environment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Northern Africa,AFN,Algeria,DZA,Environment subscore,40.0,30.0,30.0,12.5,0.0,26.2,0.0,60.0,10.0,30.0,0.0,20.0,22.8
2022,Northern Africa,AFN,Algeria,DZA,All Categories,56.0,45.5,47.9,10.5,0.0,36.9,2.4,71.0,7.4,36.7,0.0,23.5,29.7
2022,Southern Europe,EUZ,Andorra,ADO,Population & vital statistics,100.0,100.0,100.0,50.0,-,87.5,100.0,100.0,50.0,100.0,0.0,70.0,77.8
2022,Southern Europe,EUZ,Andorra,ADO,Education facilities,50.0,50.0,50.0,0.0,-,37.5,100.0,100.0,50.0,100.0,0.0,70.0,55.6
2022,Southern Europe,EUZ,Andorra,ADO,Education outcomes,50.0,50.0,50.0,50.0,-,50.0,100.0,100.0,50.0,100.0,0.0,70.0,61.1
2022,Southern Europe,EUZ,Andorra,ADO,Health facilities,50.0,50.0,50.0,0.0,-,37.5,100.0,100.0,100.0,100.0,0.0,80.0,61.1
2022,Southern Europe,EUZ,Andorra,ADO,Health outcomes,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Southern Europe,EUZ,Andorra,ADO,Reproductive health,50.0,50.0,50.0,0.0,-,37.5,100.0,100.0,50.0,100.0,0.0,70.0,55.6
2022,Southern Europe,EUZ,Andorra,ADO,Food security & nutrition,0.0,0.0,0.0,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Southern Europe,EUZ,Andorra,ADO,Gender statistics,50.0,50.0,50.0,0.0,-,37.5,100.0,100.0,100.0,100.0,0.0,80.0,61.1
2022,Southern Europe,EUZ,Andorra,ADO,Crime & justice,50.0,50.0,50.0,50.0,-,50.0,100.0,100.0,50.0,100.0,0.0,70.0,61.1
2022,Southern Europe,EUZ,Andorra,ADO,Poverty & income,100.0,100.0,100.0,0.0,-,75.0,100.0,100.0,100.0,100.0,0.0,80.0,77.8
2022,Southern Europe,EUZ,Andorra,ADO,Social statistics subscore,50.0,50.0,50.0,16.7,-,42.3,80.0,80.0,55.0,80.0,0.0,59.0,51.7
2022,Southern Europe,EUZ,Andorra,ADO,National accounts,50.0,50.0,50.0,-,-,50.0,100.0,100.0,50.0,50.0,0.0,60.0,56.3
2022,Southern Europe,EUZ,Andorra,ADO,Labor,100.0,100.0,100.0,0.0,-,75.0,100.0,100.0,50.0,100.0,0.0,70.0,72.2
2022,Southern Europe,EUZ,Andorra,ADO,Price indexes,50.0,50.0,50.0,-,-,50.0,100.0,100.0,100.0,100.0,0.0,80.0,68.8
2022,Southern Europe,EUZ,Andorra,ADO,Government finance,100.0,100.0,100.0,-,-,100.0,100.0,100.0,50.0,50.0,0.0,60.0,75.0
2022,Southern Europe,EUZ,Andorra,ADO,Money & banking,50.0,50.0,50.0,-,-,50.0,100.0,100.0,50.0,0.0,0.0,50.0,50.0
2022,Southern Europe,EUZ,Andorra,ADO,International trade,100.0,100.0,100.0,-,-,100.0,100.0,100.0,50.0,50.0,0.0,60.0,75.0
2022,Southern Europe,EUZ,Andorra,ADO,Balance of payments,100.0,50.0,50.0,-,-,66.7,100.0,100.0,50.0,50.0,0.0,60.0,62.5
2022,Southern Europe,EUZ,Andorra,ADO,Economic & Financial Statistics subscores,78.6,71.4,71.4,0.0,-,70.5,100.0,100.0,57.1,57.1,0.0,62.9,65.8
2022,Southern Europe,EUZ,Andorra,ADO,Agriculture and land use,50.0,50.0,50.0,50.0,-,50.0,100.0,100.0,100.0,100.0,0.0,80.0,66.7
2022,Southern Europe,EUZ,Andorra,ADO,Resource use,50.0,50.0,50.0,-,-,50.0,100.0,100.0,100.0,100.0,0.0,80.0,68.8
2022,Southern Europe,EUZ,Andorra,ADO,Energy,50.0,50.0,50.0,-,-,50.0,100.0,100.0,100.0,100.0,0.0,80.0,68.8
2022,Southern Europe,EUZ,Andorra,ADO,Pollution,50.0,50.0,50.0,-,-,50.0,100.0,100.0,100.0,100.0,0.0,80.0,68.8
2022,Southern Europe,EUZ,Andorra,ADO,Built environment,0.0,0.0,0.0,0.0,-,0.0,100.0,100.0,100.0,100.0,0.0,80.0,44.4
2022,Southern Europe,EUZ,Andorra,ADO,Environment subscore,40.0,40.0,40.0,25.0,-,38.2,100.0,100.0,100.0,100.0,0.0,80.0,63.1
2022,Southern Europe,EUZ,Andorra,ADO,All Categories,56.2,53.8,53.8,17.3,-,49.5,93.3,93.3,70.7,79.0,0.0,67.3,60.0
2022,Middle Africa,AFM,Angola,AGO,Population & vital statistics,50.0,50.0,50.0,50.0,0.0,40.0,0.0,100.0,50.0,50.0,0.0,40.0,40.0
2022,Middle Africa,AFM,Angola,AGO,Education facilities,50.0,50.0,50.0,50.0,0.0,40.0,0.0,100.0,50.0,50.0,0.0,40.0,40.0
2022,Middle Africa,AFM,Angola,AGO,Education outcomes,50.0,50.0,50.0,50.0,0.0,40.0,0.0,100.0,0.0,50.0,0.0,30.0,35.0
2022,Middle Africa,AFM,Angola,AGO,Health facilities,50.0,50.0,50.0,50.0,0.0,40.0,0.0,100.0,50.0,50.0,0.0,40.0,40.0
2022,Middle Africa,AFM,Angola,AGO,Health outcomes,50.0,50.0,50.0,0.0,0.0,30.0,0.0,100.0,0.0,50.0,0.0,30.0,30.0
2022,Middle Africa,AFM,Angola,AGO,Reproductive health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Middle Africa,AFM,Angola,AGO,Food security & nutrition,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Middle Africa,AFM,Angola,AGO,Gender statistics,50.0,50.0,50.0,0.0,0.0,30.0,0.0,100.0,50.0,50.0,0.0,40.0,35.0
2022,Middle Africa,AFM,Angola,AGO,Crime & justice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,50.0,0.0,40.0,20.0
2022,Middle Africa,AFM,Angola,AGO,Poverty & income,100.0,50.0,50.0,50.0,0.0,50.0,0.0,100.0,50.0,50.0,0.0,40.0,45.0
2022,Middle Africa,AFM,Angola,AGO,Social statistics subscore,40.0,35.0,35.0,25.0,0.0,27.6,0.0,80.0,30.0,40.0,0.0,30.0,28.8
2022,Middle Africa,AFM,Angola,AGO,National accounts,50.0,50.0,50.0,0.0,-,37.5,100.0,50.0,50.0,50.0,0.0,50.0,44.4
2022,Middle Africa,AFM,Angola,AGO,Labor,100.0,50.0,50.0,0.0,0.0,40.0,0.0,100.0,0.0,50.0,0.0,30.0,35.0
2022,Middle Africa,AFM,Angola,AGO,Price indexes,50.0,50.0,50.0,50.0,-,50.0,0.0,100.0,0.0,50.0,0.0,30.0,38.9
2022,Middle Africa,AFM,Angola,AGO,Government finance,100.0,50.0,50.0,0.0,-,50.0,0.0,100.0,0.0,50.0,0.0,30.0,38.9
2022,Middle Africa,AFM,Angola,AGO,Money & banking,100.0,100.0,100.0,-,-,100.0,100.0,0.0,50.0,50.0,0.0,40.0,62.5
2022,Middle Africa,AFM,Angola,AGO,International trade,100.0,100.0,100.0,-,-,100.0,100.0,100.0,50.0,50.0,0.0,60.0,75.0
2022,Middle Africa,AFM,Angola,AGO,Balance of payments,100.0,100.0,100.0,-,-,100.0,100.0,100.0,50.0,50.0,0.0,60.0,75.0
2022,Middle Africa,AFM,Angola,AGO,Economic & Financial Statistics subscores,85.7,71.4,71.4,12.5,0.0,63.5,57.1,78.6,28.6,50.0,0.0,42.9,51.6
2022,Middle Africa,AFM,Angola,AGO,Agriculture and land use,50.0,50.0,50.0,0.0,0.0,30.0,0.0,100.0,50.0,50.0,0.0,40.0,35.0
2022,Middle Africa,AFM,Angola,AGO,Resource use,50.0,50.0,50.0,0.0,-,37.5,0.0,100.0,50.0,50.0,0.0,40.0,38.9
2022,Middle Africa,AFM,Angola,AGO,Energy,0.0,0.0,0.0,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Middle Africa,AFM,Angola,AGO,Pollution,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Middle Africa,AFM,Angola,AGO,Built environment,100.0,50.0,50.0,100.0,0.0,60.0,0.0,100.0,50.0,50.0,0.0,40.0,50.0
2022,Middle Africa,AFM,Angola,AGO,Environment subscore,40.0,30.0,30.0,25.0,0.0,28.6,0.0,60.0,30.0,30.0,0.0,24.0,26.1
2022,Middle Africa,AFM,Angola,AGO,All Categories,55.2,45.5,45.5,22.0,0.0,38.3,19.0,72.9,29.5,40.0,0.0,32.3,35.1
2022,Caribbean,AMC,Anguilla,AIA,Population & vital statistics,50.0,50.0,50.0,0.0,-,37.5,100.0,100.0,50.0,100.0,0.0,70.0,55.6
2022,Caribbean,AMC,Anguilla,AIA,Education facilities,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Caribbean,AMC,Anguilla,AIA,Education outcomes,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Caribbean,AMC,Anguilla,AIA,Health facilities,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Caribbean,AMC,Anguilla,AIA,Health outcomes,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Caribbean,AMC,Anguilla,AIA,Reproductive health,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Caribbean,AMC,Anguilla,AIA,Food security & nutrition,0.0,0.0,0.0,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Caribbean,AMC,Anguilla,AIA,Gender statistics,50.0,0.0,0.0,0.0,-,12.5,0.0,100.0,50.0,50.0,0.0,40.0,27.8
2022,Caribbean,AMC,Anguilla,AIA,Crime & justice,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Caribbean,AMC,Anguilla,AIA,Poverty & income,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Caribbean,AMC,Anguilla,AIA,Social statistics subscore,10.0,5.0,5.0,0.0,-,5.1,10.0,20.0,10.0,15.0,0.0,11.0,8.4
2022,Caribbean,AMC,Anguilla,AIA,National accounts,50.0,50.0,50.0,-,-,50.0,100.0,100.0,50.0,50.0,0.0,60.0,56.3
2022,Caribbean,AMC,Anguilla,AIA,Labor,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Caribbean,AMC,Anguilla,AIA,Price indexes,50.0,50.0,50.0,-,-,50.0,0.0,100.0,50.0,50.0,0.0,40.0,43.8
2022,Caribbean,AMC,Anguilla,AIA,Government finance,100.0,100.0,100.0,-,-,100.0,0.0,100.0,0.0,0.0,0.0,20.0,50.0
2022,Caribbean,AMC,Anguilla,AIA,Money & banking,50.0,0.0,0.0,-,-,16.7,0.0,100.0,100.0,50.0,0.0,50.0,37.5
2022,Caribbean,AMC,Anguilla,AIA,International trade,0.0,0.0,0.0,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Caribbean,AMC,Anguilla,AIA,Balance of payments,100.0,50.0,50.0,-,-,66.7,100.0,100.0,50.0,50.0,0.0,60.0,62.5
2022,Caribbean,AMC,Anguilla,AIA,Economic & Financial Statistics subscores,50.0,35.7,35.7,0.0,-,38.6,28.6,71.4,35.7,28.6,0.0,32.9,35.1
2022,Caribbean,AMC,Anguilla,AIA,Agriculture and land use,50.0,50.0,50.0,0.0,-,37.5,100.0,100.0,50.0,50.0,0.0,60.0,50.0
2022,Caribbean,AMC,Anguilla,AIA,Resource use,50.0,50.0,50.0,-,-,50.0,100.0,100.0,50.0,50.0,0.0,60.0,56.3
2022,Caribbean,AMC,Anguilla,AIA,Energy,0.0,0.0,0.0,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Caribbean,AMC,Anguilla,AIA,Pollution,0.0,0.0,0.0,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Caribbean,AMC,Anguilla,AIA,Built environment,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Caribbean,AMC,Anguilla,AIA,Environment subscore,20.0,20.0,20.0,0.0,-,17.6,40.0,40.0,20.0,20.0,0.0,24.0,21.4
2022,Caribbean,AMC,Anguilla,AIA,All Categories,26.7,20.2,20.2,0.0,-,19.3,26.2,43.8,21.9,21.2,0.0,22.6,21.3
2022,Caribbean,AMC,Antigua and Barbuda,ATG,Population & vital statistics,100.0,100.0,100.0,0.0,-,75.0,100.0,100.0,50.0,50.0,100.0,80.0,77.8
2022,Caribbean,AMC,Antigua and Barbuda,ATG,Education facilities,100.0,50.0,50.0,0.0,-,50.0,50.0,100.0,50.0,50.0,50.0,60.0,55.6
2022,Caribbean,AMC,Antigua and Barbuda,ATG,Education outcomes,50.0,50.0,50.0,0.0,-,37.5,50.0,100.0,50.0,50.0,100.0,70.0,55.6
2022,Caribbean,AMC,Antigua and Barbuda,ATG,Health facilities,50.0,50.0,50.0,0.0,-,37.5,0.0,100.0,50.0,50.0,50.0,50.0,44.4
2022,Caribbean,AMC,Antigua and Barbuda,ATG,Health outcomes,50.0,0.0,0.0,0.0,-,12.5,0.0,100.0,50.0,50.0,100.0,60.0,38.9
2022,Caribbean,AMC,Antigua and Barbuda,ATG,Reproductive health,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Caribbean,AMC,Antigua and Barbuda,ATG,Food security & nutrition,0.0,0.0,0.0,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Caribbean,AMC,Antigua and Barbuda,ATG,Gender statistics,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Caribbean,AMC,Antigua and Barbuda,ATG,Crime & justice,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Caribbean,AMC,Antigua and Barbuda,ATG,Poverty & income,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Caribbean,AMC,Antigua and Barbuda,ATG,Social statistics subscore,35.0,25.0,25.0,0.0,-,21.8,20.0,50.0,25.0,25.0,40.0,32.0,27.5
2022,Caribbean,AMC,Antigua and Barbuda,ATG,National accounts,50.0,50.0,50.0,-,-,50.0,100.0,100.0,50.0,50.0,100.0,80.0,68.8
2022,Caribbean,AMC,Antigua and Barbuda,ATG,Labor,100.0,50.0,0.0,50.0,-,50.0,50.0,100.0,0.0,50.0,100.0,60.0,55.6
2022,Caribbean,AMC,Antigua and Barbuda,ATG,Price indexes,50.0,50.0,50.0,-,-,50.0,50.0,100.0,0.0,50.0,100.0,60.0,56.3
2022,Caribbean,AMC,Antigua and Barbuda,ATG,Government finance,100.0,100.0,100.0,-,-,100.0,0.0,100.0,0.0,50.0,0.0,30.0,56.3
2022,Caribbean,AMC,Antigua and Barbuda,ATG,Money & banking,100.0,100.0,100.0,-,-,100.0,0.0,100.0,0.0,50.0,0.0,30.0,56.3
2022,Caribbean,AMC,Antigua and Barbuda,ATG,International trade,50.0,50.0,50.0,-,-,50.0,100.0,100.0,0.0,100.0,100.0,80.0,68.8
2022,Caribbean,AMC,Antigua and Barbuda,ATG,Balance of payments,100.0,100.0,100.0,-,-,100.0,100.0,100.0,0.0,100.0,100.0,80.0,87.5
2022,Caribbean,AMC,Antigua and Barbuda,ATG,Economic & Financial Statistics subscores,78.6,71.4,64.3,50.0,-,70.5,57.1,100.0,7.1,64.3,71.4,60.0,64.0
2022,Caribbean,AMC,Antigua and Barbuda,ATG,Agriculture and land use,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Caribbean,AMC,Antigua and Barbuda,ATG,Resource use,0.0,0.0,0.0,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Caribbean,AMC,Antigua and Barbuda,ATG,Energy,0.0,0.0,0.0,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Caribbean,AMC,Antigua and Barbuda,ATG,Pollution,0.0,0.0,0.0,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Caribbean,AMC,Antigua and Barbuda,ATG,Built environment,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Caribbean,AMC,Antigua and Barbuda,ATG,Environment subscore,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Caribbean,AMC,Antigua and Barbuda,ATG,All Categories,37.9,32.1,29.8,5.0,-,29.3,25.7,50.0,10.7,29.8,37.1,30.7,30.1
2022,South America,AMZ,Argentina,ARG,Population & vital statistics,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,0.0,30.0,40.0
2022,South America,AMZ,Argentina,ARG,Education facilities,50.0,50.0,50.0,50.0,0.0,40.0,50.0,50.0,50.0,50.0,50.0,50.0,45.0
2022,South America,AMZ,Argentina,ARG,Education outcomes,50.0,50.0,50.0,50.0,0.0,40.0,50.0,50.0,50.0,50.0,0.0,40.0,40.0
2022,South America,AMZ,Argentina,ARG,Health facilities,50.0,50.0,50.0,0.0,0.0,30.0,100.0,100.0,50.0,50.0,100.0,80.0,55.0
2022,South America,AMZ,Argentina,ARG,Health outcomes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,South America,AMZ,Argentina,ARG,Reproductive health,50.0,50.0,50.0,50.0,0.0,40.0,100.0,50.0,50.0,50.0,0.0,50.0,45.0
2022,South America,AMZ,Argentina,ARG,Food security & nutrition,50.0,50.0,50.0,0.0,-,37.5,100.0,100.0,50.0,50.0,0.0,60.0,50.0
2022,South America,AMZ,Argentina,ARG,Gender statistics,50.0,50.0,50.0,0.0,0.0,30.0,50.0,50.0,50.0,50.0,0.0,40.0,35.0
2022,South America,AMZ,Argentina,ARG,Crime & justice,50.0,50.0,50.0,0.0,0.0,30.0,50.0,50.0,50.0,50.0,0.0,40.0,35.0
2022,South America,AMZ,Argentina,ARG,Poverty & income,100.0,100.0,100.0,50.0,100.0,90.0,50.0,50.0,0.0,50.0,0.0,30.0,60.0
2022,South America,AMZ,Argentina,ARG,Social statistics subscore,50.0,50.0,50.0,25.0,16.7,38.8,60.0,55.0,35.0,45.0,15.0,42.0,40.4
2022,South America,AMZ,Argentina,ARG,National accounts,100.0,100.0,100.0,0.0,-,75.0,50.0,50.0,0.0,50.0,0.0,30.0,50.0
2022,South America,AMZ,Argentina,ARG,Labor,100.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,0.0,50.0,0.0,30.0,40.0
2022,South America,AMZ,Argentina,ARG,Price indexes,100.0,100.0,100.0,50.0,-,87.5,100.0,0.0,50.0,50.0,0.0,40.0,61.1
2022,South America,AMZ,Argentina,ARG,Government finance,100.0,100.0,100.0,0.0,-,75.0,100.0,100.0,100.0,100.0,100.0,100.0,88.9
